route_type,seq,row,col,x_m,y_m,lat,lon
energy_efficient,0,60,784,85248.713366,14873.818869000002,-87.1467974308515,80.10291118780192
energy_efficient,1,60,783,85223.713366,14873.818869000002,-87.14760910185106,80.10006535329151
energy_efficient,2,60,782,85198.713366,14873.818869000002,-87.14842076609885,80.09721789804662
energy_efficient,3,60,781,85173.713366,14873.818869000002,-87.14923242358888,80.09436882069637
energy_efficient,4,60,780,85148.713366,14873.818869000002,-87.15004407431489,80.0915181198684
energy_efficient,5,60,779,85123.713366,14873.818869000002,-87.15085571827076,80.08866579418873
energy_efficient,6,60,778,85098.713366,14873.818869000002,-87.1516673554504,80.08581184228198
energy_efficient,7,60,777,85073.713366,14873.818869000002,-87.15247898584774,80.0829562627711
energy_efficient,8,60,776,85048.713366,14873.818869000002,-87.15329060945665,80.08009905427762
energy_efficient,9,60,775,85023.713366,14873.818869000002,-87.15410222627088,80.07724021542143
energy_efficient,10,60,774,84998.713366,14873.818869000002,-87.15491383628435,80.0743797448209
energy_efficient,11,60,773,84973.713366,14873.818869000002,-87.15572543949095,80.07151764109292
energy_efficient,12,60,772,84948.713366,14873.818869000002,-87.15653703588445,80.06865390285277
energy_efficient,13,60,771,84923.713366,14873.818869000002,-87.15734862545871,80.06578852871418
energy_efficient,14,60,770,84898.713366,14873.818869000002,-87.15816020820739,80.06292151728937
energy_efficient,15,60,769,84873.713366,14873.818869000002,-87.15897178412456,80.06005286718894
energy_efficient,16,61,768,84848.713366,14848.818869000002,-87.1599255031302,80.07356184379213
energy_efficient,17,62,767,84823.713366,14823.818869000002,-87.16087906460719,80.0870798992497
energy_efficient,18,63,766,84798.713366,14798.818869000002,-87.16183246839567,80.10060704121061
energy_efficient,19,64,765,84773.713366,14773.818869000002,-87.16278571433611,80.11414327732997
energy_efficient,20,65,764,84748.713366,14748.818869000002,-87.16373880226858,80.12768861526914
energy_efficient,21,66,763,84723.713366,14723.818869000002,-87.16469173203282,80.14124306269574
energy_efficient,22,67,762,84698.713366,14698.818869000002,-87.16564450346867,80.15480662728363
energy_efficient,23,68,761,84673.713366,14673.818869000002,-87.1665971164154,80.1683793167129
energy_efficient,24,69,760,84648.713366,14648.818869000002,-87.16754957071258,80.18196113866986
energy_efficient,25,69,759,84623.713366,14648.818869000002,-87.1683614436519,80.17911711060734
energy_efficient,26,70,758,84598.713366,14623.818869000002,-87.16931377278479,80.19271101530475
energy_efficient,27,71,757,84573.713366,14598.818869000002,-87.17026594292258,80.20631407284837
energy_efficient,28,72,756,84548.713366,14573.818869000002,-87.17121795390385,80.21992629095021
energy_efficient,29,73,755,84523.713366,14548.818869000002,-87.17216980556707,80.23354767732854
energy_efficient,30,74,754,84498.713366,14523.818869000002,-87.17312149775067,80.24717823970789
energy_efficient,31,75,753,84473.713366,14498.818869000002,-87.17407303029275,80.26081798581903
energy_efficient,32,76,752,84448.713366,14473.818869000002,-87.17502440303099,80.274466923399
energy_efficient,33,77,751,84423.713366,14448.818869000002,-87.17597561580321,80.2881250601911
energy_efficient,34,78,750,84398.713366,14423.818869000002,-87.17692666844698,80.30179240394487
energy_efficient,35,79,749,84373.713366,14398.818869000002,-87.1778775607995,80.31546896241615
energy_efficient,36,80,748,84348.713366,14373.818869000002,-87.17882829269801,80.329154743367
energy_efficient,37,81,747,84323.713366,14348.818869000002,-87.17977886397941,80.34284975456573
energy_efficient,38,82,746,84298.713366,14323.818869000002,-87.18072927448054,80.35655400378697
energy_efficient,39,83,745,84273.713366,14298.818869000002,-87.18167952403772,80.3702674988116
energy_efficient,40,83,744,84248.713366,14298.818869000002,-87.18249185940391,80.3674635003337
energy_efficient,41,83,743,84223.713366,14298.818869000002,-87.18330418830413,80.36465788386313
energy_efficient,42,84,742,84198.713366,14273.818869000002,-87.18425434342603,80.37838666013195
energy_efficient,43,84,741,84173.713366,14273.818869000002,-87.18506669921554,80.37558243979973
energy_efficient,44,84,740,84148.713366,14273.818869000002,-87.18587904854388,80.37277659982675
energy_efficient,45,84,739,84123.713366,14273.818869000002,-87.18669139140523,80.36996913882287
energy_efficient,46,84,738,84098.713366,14273.818869000002,-87.18750372779353,80.3671600553964
energy_efficient,47,84,737,84073.713366,14273.818869000002,-87.18831605770305,80.36434934815405
energy_efficient,48,84,736,84048.713366,14273.818869000002,-87.1891283811276,80.36153701570096
energy_efficient,49,84,735,84023.713366,14273.818869000002,-87.1899406980613,80.3587230566407
energy_efficient,50,84,734,83998.713366,14273.818869000002,-87.1907530084983,80.35590746957523
energy_efficient,51,84,733,83973.713366,14273.818869000002,-87.19156531243253,80.35309025310494
energy_efficient,52,84,732,83948.713366,14273.818869000002,-87.19237760985793,80.35027140582864
energy_efficient,53,84,731,83923.713366,14273.818869000002,-87.19318990076864,80.34745092634351
energy_efficient,54,84,730,83898.713366,14273.818869000002,-87.19400218515855,80.34462881324521
energy_efficient,55,84,729,83873.713366,14273.818869000002,-87.19481446302177,80.34180506512773
energy_efficient,56,84,728,83848.713366,14273.818869000002,-87.19562673435225,80.33897968058349
energy_efficient,57,84,727,83823.713366,14273.818869000002,-87.19643899914398,80.3361526582033
energy_efficient,58,84,726,83798.713366,14273.818869000002,-87.1972512573909,80.33332399657641
energy_efficient,59,84,725,83773.713366,14273.818869000002,-87.19806350908713,80.3304936942904
energy_efficient,60,84,724,83748.713366,14273.818869000002,-87.19887575422646,80.32766174993128
energy_efficient,61,84,723,83723.713366,14273.818869000002,-87.19968799280285,80.32482816208348
energy_efficient,62,84,722,83698.713366,14273.818869000002,-87.20050022481034,80.32199292932977
energy_efficient,63,84,721,83673.713366,14273.818869000002,-87.2013124502429,80.3191560502513
energy_efficient,64,84,720,83648.713366,14273.818869000002,-87.2021246690944,80.31631752342764
energy_efficient,65,85,719,83623.713366,14248.818869000002,-87.20307540018199,80.33012228552849
energy_efficient,66,86,718,83598.713366,14223.818869000002,-87.20402596924346,80.34393643878502
energy_efficient,67,87,717,83573.713366,14198.818869000002,-87.2049763761126,80.35775999117581
energy_efficient,68,88,716,83548.713366,14173.818869000002,-87.20592662062298,80.37159295068587
energy_efficient,69,89,715,83523.713366,14148.818869000002,-87.20687670260838,80.38543532530674
energy_efficient,70,90,714,83498.713366,14123.818869000002,-87.20782662190197,80.39928712303642
energy_efficient,71,91,713,83473.713366,14098.818869000002,-87.20877637833688,80.41314835187941
energy_efficient,72,92,712,83448.713366,14073.818869000002,-87.20972597174587,80.4270190198467
energy_efficient,73,93,711,83423.713366,14048.818869000002,-87.21067540196195,80.44089913495571
energy_efficient,74,94,710,83398.713366,14023.818869000002,-87.21162466881748,80.45478870523047
energy_efficient,75,95,709,83373.713366,13998.818869000002,-87.21257377214464,80.46868773870139
energy_efficient,76,96,708,83348.713366,13973.818869000002,-87.2135227117757,80.48259624340542
energy_efficient,77,97,707,83323.713366,13948.818869000002,-87.21447148754268,80.49651422738602
energy_efficient,78,98,706,83298.713366,13923.818869000002,-87.21542009927708,80.51044169869304
energy_efficient,79,99,705,83273.713366,13898.818869000002,-87.21636854681051,80.524378665383
energy_efficient,80,100,704,83248.713366,13873.818869000002,-87.21731682997428,80.53832513551873
energy_efficient,81,101,703,83223.713366,13848.818869000002,-87.21826494859967,80.5522811171697
energy_efficient,82,102,702,83198.713366,13823.818869000002,-87.21921290251728,80.5662466184118
energy_efficient,83,103,701,83173.713366,13798.818869000002,-87.22016069155801,80.5802216473274
energy_efficient,84,104,700,83148.713366,13773.818869000002,-87.22110831555231,80.59420621200543
energy_efficient,85,105,699,83123.713366,13748.818869000002,-87.22205577433067,80.60820032054129
energy_efficient,86,106,698,83098.713366,13723.818869000002,-87.22300306772289,80.62220398103686
energy_efficient,87,107,697,83073.713366,13698.818869000002,-87.22395019555915,80.63621720160056
energy_efficient,88,108,696,83048.713366,13673.818869000002,-87.22489715766903,80.65023999034725
energy_efficient,89,109,695,83023.713366,13648.818869000002,-87.225843953882,80.66427235539835
energy_efficient,90,110,694,82998.713366,13623.818869000002,-87.2267905840274,80.67831430488175
energy_efficient,91,111,693,82973.713366,13598.818869000002,-87.2277370479344,80.69236584693186
energy_efficient,92,112,692,82948.713366,13573.818869000002,-87.2286833454319,80.70642698968956
energy_efficient,93,113,691,82923.713366,13548.818869000002,-87.22962947634846,80.72049774130227
energy_efficient,94,114,690,82898.713366,13523.818869000002,-87.23057544051268,80.73457810992387
energy_efficient,95,115,689,82873.713366,13498.818869000002,-87.23152123775272,80.7486681037148
energy_efficient,96,116,688,82848.713366,13473.818869000002,-87.23246686789673,80.76276773084197
energy_efficient,97,117,687,82823.713366,13448.818869000002,-87.23341233077278,80.77687699947877
energy_efficient,98,118,686,82798.713366,13423.818869000002,-87.23435762620818,80.79099591780515
energy_efficient,99,119,685,82773.713366,13398.818869000002,-87.23530275403058,80.80512449400753
energy_efficient,100,120,684,82748.713366,13373.818869000002,-87.23624771406733,80.81926273627882
energy_efficient,101,121,683,82723.713366,13348.818869000002,-87.23719250614535,80.83341065281849
energy_efficient,102,121,682,82698.713366,13348.818869000002,-87.23800594854117,80.83068663795827
energy_efficient,103,122,681,82673.713366,13323.818869000002,-87.2389506052288,80.84484747736138
energy_efficient,104,123,680,82648.713366,13298.818869000002,-87.23989509358366,80.85901801285986
energy_efficient,105,124,679,82623.713366,13273.818869000002,-87.24083941343197,80.87319825268033
energy_efficient,106,124,678,82598.713366,13273.818869000002,-87.24165294805418,80.87048237352214
energy_efficient,107,125,677,82573.713366,13248.818869000002,-87.24259713189724,80.88467558384569
energy_efficient,108,126,676,82548.713366,13223.818869000002,-87.24354114685792,80.89887852039993
energy_efficient,109,127,675,82523.713366,13198.818869000002,-87.24448499276187,80.91309119143871
energy_efficient,110,127,674,82498.713366,13198.818869000002,-87.24529861945538,80.9103835032807
energy_efficient,111,127,673,82473.713366,13198.818869000002,-87.24611224027336,80.90767421455736
energy_efficient,112,128,672,82448.713366,13173.818869000002,-87.24705598217885,80.92190318087148
energy_efficient,113,128,671,82423.713366,13173.818869000002,-87.2478696297575,80.919195568428
energy_efficient,114,128,670,82398.713366,13173.818869000002,-87.24868327146638,80.91648635392833
energy_efficient,115,128,669,82373.713366,13173.818869000002,-87.24949690729994,80.91377553596232
energy_efficient,116,129,668,82348.713366,13148.818869000002,-87.2504405776345,80.92802411938587
energy_efficient,117,129,667,82323.713366,13148.818869000002,-87.25125424025148,80.92531498425907
energy_efficient,118,129,666,82298.713366,13148.818869000002,-87.25206789699907,80.92260424417263
energy_efficient,119,129,665,82273.713366,13148.818869000002,-87.25288154787167,80.91989189771203
energy_efficient,120,129,664,82248.713366,13148.818869000002,-87.25369519286362,80.91717794346114
energy_efficient,121,129,663,82223.713366,13148.818869000002,-87.25450883196955,80.91446238000213
energy_efficient,122,129,662,82198.713366,13148.818869000002,-87.25532246518361,80.91174520591557
energy_efficient,123,129,661,82173.713366,13148.818869000002,-87.25613609250045,80.90902641978035
energy_efficient,124,129,660,82148.713366,13148.818869000002,-87.2569497139145,80.90630602017366
energy_efficient,125,129,659,82123.713366,13148.818869000002,-87.25776332941997,80.9035840056711
energy_efficient,126,129,658,82098.713366,13148.818869000002,-87.25857693901138,80.9008603748466
energy_efficient,127,129,657,82073.713366,13148.818869000002,-87.25939054268324,80.89813512627236
energy_efficient,128,129,656,82048.713366,13148.818869000002,-87.26020414042962,80.89540825851898
energy_efficient,129,129,655,82023.713366,13148.818869000002,-87.26101773224529,80.89267977015538
energy_efficient,130,129,654,81998.713366,13148.818869000002,-87.26183131812435,80.88994965974878
energy_efficient,131,129,653,81973.713366,13148.818869000002,-87.26264489806125,80.88721792586473
energy_efficient,132,129,652,81948.713366,13148.818869000002,-87.26345847205047,80.88448456706713
energy_efficient,133,130,651,81923.713366,13123.818869000002,-87.26440249688292,80.89879578925935
energy_efficient,134,131,650,81898.713366,13098.818869000002,-87.26534635136247,80.91311689501843
energy_efficient,135,131,649,81873.713366,13098.818869000002,-87.26615998518788,80.91038854477465
energy_efficient,136,131,648,81848.713366,13098.818869000002,-87.26697361308861,80.90765856943662
energy_efficient,137,131,647,81823.713366,13098.818869000002,-87.26778723505886,80.90492696756435
energy_efficient,138,131,646,81798.713366,13098.818869000002,-87.26860085109323,80.90219373771617
